,Date,Document_Name,Category,File_Path,File_Size,Checksum_SHA256,Page_Count,Evidence_ID,Bates_Start,Bates_End,Bates_Status,Exhibit_ID
1,2024-11-08 13:39:19-0600,2023-06-12 - Lease Agreement - Luisa Arias 06 01 2023.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2023-06-12 - Lease Agreement - Luisa Arias 06 01 2023.pdf,4203124,223ee04903b7a2c1b2f5ff16181c12125f2f95aa4b90d67e44e99f355a9a64a8,,,,,,
3,2025-04-20 18:34:35-0500,2023-06-07 - Lease Agreement - Nick Bianchi W Addison 3S 06 01 2023.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2023-06-07 - Lease Agreement - Nick Bianchi W Addison 3S 06 01 2023.pdf,4208897,b7c86b83209280d0e9516e01d09fdbc53a9e27ff58be58ed3c7c885345fe4888,,,,,,
5,2025-04-20 18:34:35-0500,2025-02-24 - Member Equity Reduction Transaction Details Report.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2025-02-24 - Member Equity Reduction Transaction Details Report.pdf,287129,bf997ce451ed0b3d313695709a95126d747f8e33b09225a4d2730eef147594b3,,,,,,
6,2025-04-20 18:34:35-0500,Cozy Castle Account Statement.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Cozy Castle Account Statement.pdf,225022,cb9a092a11d5ec5361aaef6ac033bac9f8393024980c6083604ffbc54b81f32e,,,,,,
10,2025-04-20 18:35:51-0500,2024-09-17 - Updated ARIBIA LLC Valuation Statement & Acknowledgment.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-09-17 - Updated ARIBIA LLC Valuation Statement & Acknowledgment.pdf,46354,66491e9f85e2bacdaf27a0acdd95871ca81e9818f2a3a2356678c5788cf8169c,,,,,,
11,2025-04-20 18:35:51-0500,2024-09-24 - Re Updated ARIBIA LLC Valuation Statement & Acknowledgment.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-09-24 - Re Updated ARIBIA LLC Valuation Statement & Acknowledgment.pdf,6815189,3e0038348c9b80b39fc4754387e60723e7218f27390d175f0c171bc3996c30e2,,,,,,
23,2025-05-04 15:03:29-0500,2023-09-01 - Lease - Morada Mami Camilo Arias.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2023-09-01 - Lease - Morada Mami Camilo Arias.pdf,342121,e5808d712899eb398f32eb0c6e5f8665334bb6d0d447c20a71650c77743876b0,,,,,,
25,2025-05-14 09:25:30-0500,EXHIBIT A Verified Property Ownership & Funding Timeline.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/EXHIBIT A Verified Property Ownership & Funding Timeline.pdf,105464,ce0260e96fbcdb3e6bb83f9372a7360012698f8ae7219022e6b5b36c5b47e4f8,,,,,,
26,2025-05-14 09:25:33-0500,2024-06-25 - Rental Addendum 06 25 2024.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/2024-06-25 - Rental Addendum 06 25 2024.pdf,373556,98aaaf1d7ce29648319f64b82f21c5ffb67a0d61255302289500ce251ff9a808,,,,,,
30,2025-05-14 09:26:28-0500,Atch 3 re Bianchi FORMAL REQUEST FOR REPAYMENT – PINE GROVE.pdf,ARIBIA LLC Evidence Flat,/Users/nb/Library/Mobile Documents/com~apple~CloudDocs/ARIBIA LLC Evidence Flat/Atch 3 re Bianchi FORMAL REQUEST FOR REPAYMENT – PINE GROVE.pdf,306360,1763c8acec2bdcbadf36020882999b638d82469e2b8082534a4766545d568590,,,,,,
