owner	repo	default_branch	action	result	message
chittyapps	chittyagent-studio		repo-protection	skipped	no default branch
chittyapps	chittyfinance	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyresolution	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittydlvr	main	repo-protection	skipped	security-gates.yml missing
chittyapps	documint	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittycontextual	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittydocumint	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyevidence	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyauth-app	main	repo-protection	skipped	security-gates.yml missing
chittyapps	.github	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyxl	claude/deploy-chittyxl-v2-01H7F5Di7gL9VeeZjtf3ykyZ	repo-protection	skipped	security-gates.yml missing
chittyapps	chittytrace	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittysync	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyreception	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittylanding	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyinsight	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyformfill	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyforge	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyflow	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittydashboard	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittycloude-mcp	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittycleaner	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittychat	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittycharge	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittycan-worker	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittycan	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittybooks	main	repo-protection	skipped	security-gates.yml missing
chittyapps	ChittyAutomate-Google	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chitty-imessage	main	repo-protection	skipped	security-gates.yml missing
chittyapps	ch1tty	main	repo-protection	skipped	security-gates.yml missing
chittyapps	chittyproof		repo-protection	skipped	no default branch
chittyapps	ecosystem	claude/github-mcp-server-01GMRhD5EaYCAh4ieWcd1TwF	repo-protection	skipped	security-gates.yml missing
chittyapps	chittybrand		repo-protection	skipped	no default branch
chittyapps	chittypm		repo-protection	skipped	no default branch
chittyapps	bane		repo-protection	skipped	no default branch
chittyapps	chitty		repo-protection	skipped	no default branch
chittyapps	chittyportal		repo-protection	skipped	no default branch
chittyapps	chittychat-sessions	main	repo-protection	skipped	security-gates.yml missing
chittyapps	integrateit		repo-protection	skipped	no default branch
chittyfoundation	.github	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittygov	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittyid	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittyops	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittycert	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittyschema	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittycertify	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittychain	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittychronicle	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittyledger	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittyauth	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittyregister	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittycanon	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chittydna	main	repo-protection	skipped	security-gates.yml missing
chittyfoundation	chitty-ops-foundation		repo-protection	skipped	no default branch
chittyfoundation	.chittychain	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittycan	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyops	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittycommand	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyconnect	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyscrape	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittymac	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyrouter	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyevidence-db	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittystorage	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyapi	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittygateway	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyagent	main	repo-protection	skipped	security-gates.yml missing
chittyos	get-chitty	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyintel	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittymcp-github	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittycontext	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyconcierge	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittytrack	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittydisputes	main	repo-protection	skipped	security-gates.yml missing
chittyos	.github	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyverify	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittysync	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyscore	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyregistry	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittymcp	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittyledger	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittychronicle	main	repo-protection	skipped	security-gates.yml missing
chittyos	mcp-cloudflare-authless	main	repo-protection	skipped	security-gates.yml missing
chittyos	shared	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittycore	main	repo-protection	skipped	security-gates.yml missing
chittyos	shell-plugins	main	repo-protection	skipped	security-gates.yml missing
chittyos	sessionsync	main	repo-protection	skipped	security-gates.yml missing
chittyos	chittymonitor	main	repo-protection	skipped	security-gates.yml missing
chittyos	op-shell-plugins	main	repo-protection	skipped	security-gates.yml missing
chittyos	legal-cases	main	repo-protection	skipped	security-gates.yml missing
